Sex,Age,Time_at_address,Res_status,Telephone,Occupation,Job_status,Time_employed,Time_bank,Liab_ref,Acc_ref,Home_Expn,Balance,Decision
M,28.75,1.164999962,owner,given,labourer,private_s,0,0,f,oth_inst_,280,0,reject
M,55.91999817,11.5,owner,given,unemploye,unemploye,5,5,f,given,0,8851,accept
M,34.41999817,4.25,owner,given,guard_etc,self_empl,3,2,f,given,274,610,accept
F,51.91999817,6.5,owner,given,guard_etc,self_empl,3,0,t,given,73,0,reject
M,38.25,10.125,rent,not_given,labourer,private_s,0,0,f,given,160,0,reject
M,47.16999817,5.835000038,owner,given,productio,private_s,5,0,f,given,465,150,reject
M,39.16999817,1.710000038,owner,given,professio,private_s,0,5,t,given,480,0,accept
M,48.08000183,6.039999962,owner,given,labourer,private_s,0,0,f,given,0,2690,accept
F,24.75,13.66499996,owner,given,office_st,governmen,1,0,f,given,280,1,reject
M,27.82999992,1.5,owner,given,productio,private_s,2,1,t,given,100,3,reject
M,36.16999817,18.125,owner,given,productio,private_s,0,0,f,given,320,3552,reject
F,16.5,1.25,owner,given,office_st,private_s,0,1,f,given,108,98,reject
M,19.17000008,0,rent,not_given,manager,self_empl,0,0,t,oth_inst_,500,1,accept
M,36.25,5,owner,given,creative_,self_empl,2,6,f,given,0,367,accept
M,18.57999992,5.710000038,owner,given,driver,private_s,0,0,f,given,120,0,reject
F,49,1.5,owner,given,labourer,private_s,0,0,t,given,100,27,reject
M,23.25,12.625,owner,given,creative_,private_s,0,2,f,given,0,5552,reject
M,26.82999992,0.540000021,owner,given,labourer,unemploye,0,0,f,given,100,0,reject
M,18.82999992,3.539999962,rent,not_given,unemploye,unemploye,0,0,t,given,180,1,reject
M,24.57999992,1.25,owner,given,creative_,private_s,0,0,f,given,110,0,reject
M,39.58000183,13.91499996,owner,given,productio,private_s,8,6,t,given,70,0,accept
F,25.25,12.5,owner,given,driver,private_s,1,0,t,given,180,1062,reject
M,28.57999992,3.625,owner,given,sales,private_s,0,0,t,given,100,0,reject
M,20.07999992,0.25,owner,given,office_st,private_s,0,0,f,given,200,0,reject
M,62.5,12.75,rent,not_given,creative_,governmen,5,0,f,given,112,0,reject
F,18.92000008,9,owner,given,sales,private_s,0,2,f,given,88,591,accept
F,28.67000008,1.039999962,owner,given,creative_,private_s,2,5,t,given,300,1430,accept
F,25,12.32999992,owner,given,semi_pro,governmen,3,6,f,given,400,458,accept
M,41.58000183,1.75,owner,given,labourer,private_s,0,0,f,given,160,0,reject
F,20.82999992,3,owner,given,sales,private_s,0,0,f,given,100,0,accept
M,37.5,1.125,rent,not_given,driver,private_s,1,0,t,given,431,0,accept
F,56.83000183,4.25,rent,not_given,unemploye,unemploye,5,0,t,given,0,4,reject
M,36.33000183,2.125,rent,not_given,productio,private_s,0,1,f,given,50,1187,accept
F,22.67000008,0.335000008,owner,given,office_st,private_s,0,0,f,oth_inst_,160,0,reject
M,39.58000183,5,owner,given,unemploye,unemploye,0,2,f,given,17,1,reject
M,48.58000183,6.5,owner,given,office_st,governmen,6,0,t,given,350,0,accept
F,60.91999817,5,owner,given,sales,private_s,4,4,f,given,0,99,accept
M,33.16999817,1,owner,given,professio,private_s,0,7,t,given,340,4071,accept
M,23.07999992,2.5,owner,given,unemploye,unemploye,0,0,t,given,100,4208,reject
F,47.75,8,owner,given,creative_,private_s,7,6,t,given,0,1260,accept
F,28.57999992,3.75,owner,given,creative_,private_s,0,1,t,given,40,154,reject
M,26.67000008,1.75,rent,not_given,creative_,private_s,1,5,t,given,160,5777,accept
F,17.57999992,9,owner,given,sales,private_s,1,0,t,given,0,0,accept
M,36.66999817,4.414999962,rent,not_given,labourer,private_s,0,10,t,given,320,0,accept
F,68.66999817,15,owner,given,executive,retired,0,14,f,given,0,3376,accept
M,22.92000008,3.164999962,rent,not_given,creative_,private_s,0,0,f,given,160,1058,reject
M,18.42000008,10.41499996,rent,not_given,sales,private_s,0,0,f,given,120,375,reject
M,24.07999992,0.875,owner,given,manager,private_s,0,4,f,given,254,1950,reject
F,17.92000008,10.21000004,owner,given,unemploye,unemploye,0,0,f,given,0,50,reject
M,18.82999992,0.414999992,rent,not_given,creative_,private_s,0,1,f,given,200,1,reject
M,27.57999992,3.25,rent,not_given,office_st,governmen,5,2,t,given,369,1,reject
M,25.75,0.5,owner,given,creative_,private_s,1,5,t,given,312,0,accept
M,27.82999992,1.5,owner,given,productio,private_s,2,11,t,given,434,35,accept
M,40.58000183,5,owner,given,creative_,private_s,5,7,f,given,0,3065,accept
F,28.42000008,3.5,owner,given,productio,private_s,0,0,f,oth_inst_,280,0,accept
F,65.16999817,14,owner,given,unemploye,unemploye,0,11,t,given,0,1400,accept
M,26.17000008,0.25,owner,given,guard_etc,self_empl,0,0,t,given,0,0,accept
M,32.41999817,3,owner,given,driver,private_s,0,0,t,given,120,0,reject
M,31.42000008,15.5,owner,given,creative_,private_s,0,0,f,given,120,0,reject
F,30.67000008,12,owner,given,creative_,private_s,2,1,f,given,220,19,accept
M,19.42000008,6.5,owner,given,productio,governmen,1,7,f,given,80,2954,accept
M,27,0.75,owner,given,creative_,governmen,4,3,t,given,312,150,accept
M,31.07999992,1.5,rent,not_given,productio,private_s,0,0,f,oth_inst_,160,0,reject
F,20.07999992,1.25,owner,given,creative_,private_s,0,0,f,given,0,0,reject
M,32,1.75,rent,not_given,executive,governmen,0,0,t,given,393,0,accept
M,23.17000008,0,owner,given,semi_pro,private_s,0,0,f,given,0,0,accept
F,36.75,4.710000038,owner,given,unemploye,unemploye,0,0,f,given,160,0,reject
M,28.92000008,0.375,owner,given,creative_,private_s,0,0,f,given,220,140,reject
M,22.17000008,12.125,owner,given,creative_,private_s,3,2,t,given,180,173,reject
M,44,2,owner,given,manager,private_s,1,2,t,given,0,15,accept
F,39.08000183,4,owner,given,creative_,private_s,3,0,f,given,480,0,reject
F,30.42000008,1.375,owner,given,productio,governmen,0,3,f,given,0,33,reject
M,33.5,1.75,owner,given,professio,governmen,4,4,t,given,253,857,accept
M,39.25,9.5,owner,given,manager,private_s,6,14,f,given,240,4607,accept
F,30.5,6.5,owner,given,creative_,self_empl,4,7,t,given,0,3065,accept
F,41.33000183,1,owner,given,guard_etc,self_empl,2,0,t,given,0,300,accept
F,57.08000183,0.335000008,owner,given,guard_etc,self_empl,1,0,t,given,252,2197,reject
M,21.32999992,10.5,owner,given,creative_,private_s,3,0,t,given,0,0,accept
F,24.07999992,0.5,owner,given,office_st,governmen,1,1,f,given,0,678,accept
M,26.67000008,4.25,owner,given,semi_pro,private_s,4,1,t,given,120,0,accept
M,69.16999817,9,owner,given,unemploye,unemploye,4,1,f,given,70,6,reject
F,21.92000008,11.66499996,owner,given,labourer,governmen,0,0,f,given,320,5,reject
M,29.57999992,4.75,owner,given,manager,private_s,2,1,t,given,460,68,reject
M,26.92000008,2.25,owner,given,guard_etc,self_empl,0,0,t,given,640,4000,reject
M,16.07999992,0.75,owner,given,creative_,private_s,1,5,t,given,352,690,accept
M,31.82999992,0.039999999,rent,not_given,manager,private_s,0,0,f,given,0,0,reject
M,16.25,0.834999979,owner,given,manager,private_s,0,0,f,oth_inst_,200,0,reject
M,24.32999992,6.625,rent,not_given,driver,private_s,5,0,t,oth_inst_,100,0,accept
M,15.17000008,7,owner,given,executive,private_s,1,0,f,given,600,0,reject
M,21.07999992,4.125,rent,not_given,guard_etc,governmen,0,0,f,given,140,100,reject
M,51.83000183,2.039999962,rent,not_given,unemploye,unemploye,1,0,f,given,120,1,reject
M,20.5,2.414999962,owner,given,creative_,private_s,2,11,t,given,200,3000,accept
M,37.5,0.834999979,owner,given,executive,private_s,0,0,f,given,120,5,reject
M,16.5,0.125,owner,given,creative_,private_s,0,0,f,given,132,0,reject
M,30.17000008,0.5,owner,given,creative_,private_s,1,11,f,given,32,540,accept
M,34,5.085000038,rent,not_given,guard_etc,self_empl,1,0,t,given,480,0,reject
F,41.58000183,1.039999962,owner,given,sales,private_s,0,0,f,given,240,237,reject
F,46.66999817,0.460000008,owner,given,semi_pro,governmen,0,11,t,given,440,6,accept
F,26.07999992,8.664999962,owner,given,sales,private_s,1,0,f,given,160,150,accept
M,22.5,11.5,rent,not_given,manager,private_s,1,0,t,given,0,4000,reject
M,19.42000008,1.5,rent,not_given,semi_pro,private_s,2,0,t,given,100,20,reject
F,25.17000008,2.875,owner,given,professio,governmen,0,0,f,given,360,0,accept
M,27,1.5,rent,not_given,productio,private_s,0,0,t,given,260,1065,accept
M,22.67000008,0.165000007,owner,given,creative_,private_s,2,0,t,oth_inst_,0,0,accept
M,18.82999992,0,owner,given,office_st,private_s,0,0,f,given,160,1,reject
M,34.16999817,1.539999962,owner,given,semi_pro,private_s,1,1,t,given,520,50000,accept
M,20.67000008,0.834999979,rent,not_given,creative_,private_s,2,0,t,oth_inst_,240,0,reject
F,28.5,3.039999962,rent,not_given,professio,governmen,2,1,f,given,70,0,accept
F,17.82999992,11,owner,given,professio,governmen,1,11,f,given,0,3000,accept
F,37.33000183,2.5,owner,given,guard_etc,governmen,0,0,f,given,260,246,reject
M,24.17000008,0.875,owner,given,office_st,private_s,4,2,t,given,520,2000,accept
F,35.16999817,3.75,owner,given,unemploye,unemploye,0,6,f,given,0,200,reject
M,35.58000183,0.75,owner,given,labourer,private_s,1,0,t,given,231,0,reject
M,39,5,owner,given,semi_pro,private_s,3,10,t,given,0,0,accept
F,19.67000008,0.209999993,owner,given,office_st,governmen,0,11,f,given,80,99,accept
M,33.58000183,2.75,owner,given,manager,private_s,4,6,f,given,204,0,accept
F,50.08000183,12.53999996,owner,given,sales,private_s,2,3,t,given,156,0,accept
M,22.25,9,owner,given,sales,private_s,0,0,f,given,0,0,reject
M,22.67000008,0.75,owner,given,guard_etc,private_s,1,1,t,given,400,9,reject
M,23.5,3.164999962,rent,not_given,labourer,private_s,0,1,t,given,280,80,reject
M,23.57999992,1.789999962,owner,given,creative_,private_s,0,0,t,given,136,1,reject
F,16.92000008,0.5,owner,given,guard_etc,private_s,0,6,t,given,240,35,reject
M,40,6.5,owner,given,sales,self_empl,3,1,f,given,0,500,accept
M,36.41999817,0.75,rent,not_given,driver,private_s,0,0,f,given,240,3,reject
M,29.57999992,4.5,owner,given,productio,private_s,7,2,t,given,330,0,accept
M,31.25,2.835000038,owner,given,unemploye,unemploye,0,5,f,given,176,146,reject
M,42,9.789999962,owner,given,professio,governmen,7,8,f,given,0,0,accept
M,20.67000008,5.289999962,owner,given,office_st,private_s,0,1,f,given,160,0,reject
M,43.25,25.20999908,owner,given,office_st,governmen,0,1,f,given,760,90,reject
M,27.57999992,2.039999962,rent,not_given,sales,private_s,2,3,t,given,370,560,accept
F,23.57999992,0.829999983,owner,given,office_st,private_s,0,1,t,given,200,11,reject
M,34.08000183,2.5,owner,given,creative_,private_s,1,0,f,given,460,16,reject
M,34.08000183,6.5,owner,given,sales,private_s,0,0,t,given,443,0,reject
F,22.67000008,0.790000021,owner,given,guard_etc,private_s,0,0,f,given,144,0,reject
M,42.5,4.914999962,rent,not_given,productio,private_s,3,0,t,given,52,1442,accept
F,36,1,owner,given,creative_,private_s,2,11,f,given,0,456,accept
F,20.67000008,3,owner,given,office_st,private_s,0,3,f,given,100,6,accept
M,21.32999992,7.5,owner,given,sales,private_s,1,1,f,given,80,9800,accept
M,22,0.790000021,owner,given,productio,private_s,0,1,f,given,420,283,reject
M,29.82999992,1.25,rent,not_given,labourer,private_s,0,0,f,given,224,0,reject
M,34.16999817,5.25,owner,given,productio,private_s,0,0,t,given,290,6,accept
F,23.57999992,11.5,rent,not_given,labourer,governmen,3,0,t,given,20,16,reject
F,33.75,0.75,owner,given,labourer,self_empl,1,3,t,given,212,0,reject
M,39.41999817,1.710000038,rent,not_given,manager,private_s,0,0,f,oth_inst_,400,0,reject
F,30.25,5.5,owner,given,labourer,private_s,5,0,t,oth_inst_,100,0,reject
M,40.91999817,2.25,rent,not_given,professio,governmen,10,0,t,given,176,0,reject
M,20.25,9.960000038,owner,given,executive,student,0,0,f,given,0,0,accept
M,25.07999992,1.710000038,owner,given,professio,private_s,1,1,t,given,395,20,accept
M,28.25,5.125,owner,given,professio,private_s,4,2,f,given,420,7,accept
M,28.25,5.039999962,rent,not_given,creative_,self_empl,1,8,t,given,144,7,accept
M,53.91999817,9.625,owner,given,executive,private_s,8,5,f,given,0,0,accept
F,33.08000183,1.625,owner,given,driver,private_s,0,0,t,given,0,0,reject
M,22.07999992,2.335000038,owner,given,labourer,private_s,0,0,f,given,180,0,reject
F,22.92000008,1.25,owner,given,office_st,private_s,0,0,t,given,120,809,reject
F,41.16999817,6.5,owner,given,office_st,private_s,0,3,t,given,145,0,accept
F,18.42000008,9.25,owner,given,office_st,private_s,1,4,f,given,60,540,accept
F,47.41999817,8,owner,given,executive,self_empl,6,6,f,given,375,51100,accept
F,21.75,1.75,rent,not_given,labourer,private_s,0,0,f,given,160,0,reject
F,35.41999817,12,owner,given,office_st,governmen,14,8,f,given,0,6590,accept
F,24.82999992,4.5,owner,given,productio,private_s,1,0,t,given,360,6,reject
M,41.16999817,1.25,rent,not_given,productio,private_s,0,0,f,given,0,195,reject
M,56,12.5,owner,given,labourer,governmen,8,0,t,given,24,2028,accept
M,18.32999992,1.210000038,rent,not_given,executive,student,0,0,f,given,100,0,reject
F,24.75,12.5,owner,given,sales,private_s,1,12,t,given,120,567,accept
M,19.57999992,0.584999979,owner,given,unemploye,unemploye,0,3,f,given,350,769,reject
M,48.08000183,3.75,owner,given,guard_etc,self_empl,1,0,f,given,100,2,reject
F,19.75,0.75,owner,given,creative_,private_s,0,5,t,given,140,5,reject
F,20.75,9.539999962,owner,given,guard_etc,private_s,0,0,f,given,200,1000,reject
M,31.92000008,4.460000038,owner,given,semi_pro,governmen,6,3,f,given,311,300,accept
F,32.33000183,0.540000021,owner,given,semi_pro,private_s,0,0,f,given,440,11177,accept
M,19.17000008,9.5,owner,given,productio,private_s,1,0,f,given,120,2206,accept
M,35.16999817,2.5,owner,given,labourer,private_s,4,7,f,given,150,1270,accept
M,28,3,owner,given,productio,private_s,0,0,t,given,300,67,reject
F,15.82999992,0.584999979,owner,given,creative_,governmen,1,2,f,given,100,0,accept
F,23.5,1.5,owner,given,productio,private_s,0,0,t,given,160,0,reject
M,29.5,0.579999983,owner,given,productio,private_s,0,1,f,given,340,2803,reject
F,46.08000183,3,owner,given,creative_,private_s,2,8,t,given,396,4159,accept
F,33.08000183,4.625,owner,given,office_st,governmen,1,2,f,given,0,0,accept
F,47.41999817,3,owner,given,professio,private_s,13,2,t,given,519,1704,accept
M,40.58000183,1.5,owner,given,guard_etc,self_empl,0,0,f,oth_inst_,300,0,reject
F,38.75,1.5,owner,given,unemploye,unemploye,0,0,f,given,76,0,reject
M,22.82999992,3,owner,given,manager,private_s,1,1,f,given,260,800,accept
M,34.16999817,9.170000076,owner,given,creative_,private_s,4,12,t,given,0,221,accept
M,19.5,9.585000038,owner,given,sales,private_s,0,0,f,given,80,350,reject
M,27.25,0.625,owner,given,sales,private_s,0,0,t,given,200,0,reject
M,20,11.04500008,owner,given,creative_,private_s,2,0,t,given,136,0,reject
F,29.5,1.085000038,rent,not_given,professio,private_s,1,0,f,given,280,13,reject
M,23.75,0.414999992,rent,not_given,creative_,private_s,0,2,f,given,128,6,reject
F,23.25,5.875,owner,given,office_st,private_s,3,10,f,given,120,245,accept
F,50.25,0.834999979,owner,given,sales,private_s,0,0,t,given,240,117,reject
F,23,1.835000038,owner,given,labourer,private_s,0,1,f,given,200,53,reject
F,19.57999992,0.665000021,owner,given,productio,private_s,1,0,f,given,220,5,reject
F,28.07999992,15,rent,not_given,executive,retired,0,0,f,given,0,13212,accept
M,25.67000008,2.210000038,rent,not_given,sales,private_s,4,0,f,given,188,0,reject
M,57.83000183,7.039999962,owner,given,manager,private_s,14,6,t,given,360,1332,accept
M,37.5,1.75,rent,not_given,creative_,self_empl,0,0,t,given,164,400,reject
F,15.75,0.375,owner,given,creative_,private_s,1,0,f,given,120,18,reject
M,24.57999992,12.5,owner,given,productio,private_s,0,0,t,given,260,0,reject
M,43.08000183,0.375,rent,not_given,creative_,private_s,0,8,t,given,300,162,accept
M,21.5,9.75,owner,given,creative_,private_s,0,0,f,given,140,0,reject
F,18.92000008,9.25,rent,not_given,creative_,private_s,1,4,t,given,80,500,accept
M,36.66999817,2,owner,given,guard_etc,private_s,0,0,t,given,221,0,reject
M,26,1,owner,given,office_st,private_s,1,0,t,given,280,0,accept
M,29.82999992,3.5,owner,given,creative_,private_s,0,0,f,given,216,0,reject
M,42,0.204999998,owner,given,guard_etc,governmen,5,0,f,given,400,0,accept
M,42.83000183,1.25,owner,given,manager,private_s,13,1,t,given,352,112,reject
M,25,11.25,owner,given,creative_,private_s,2,17,f,given,200,1208,accept
F,25,0.875,owner,given,professio,governmen,1,0,t,given,160,5860,accept
M,22.67000008,1.585000038,rent,not_given,productio,private_s,3,6,f,given,80,0,accept
M,32.08000183,4,owner,given,manager,private_s,2,0,t,given,360,0,accept
F,21.5,6,owner,given,sales,private_s,2,3,f,given,80,918,accept
M,76.75,22.29000092,owner,given,executive,retired,12,1,t,given,0,109,accept
M,39.83000183,0.5,owner,given,manager,private_s,0,0,f,oth_inst_,288,0,reject
M,41.33000183,0,owner,given,creative_,self_empl,15,0,f,given,0,0,accept
M,32.33000183,3.5,owner,given,labourer,private_s,0,0,t,given,232,0,reject
M,25.32999992,0.579999983,owner,given,creative_,private_s,0,7,t,given,96,5124,accept
M,26.75,4.5,rent,not_given,creative_,self_empl,2,0,f,given,200,1210,reject
M,30.17000008,1.085000038,rent,not_given,creative_,private_s,0,0,f,given,170,179,reject
M,19.32999992,10.91499996,owner,given,creative_,self_empl,0,2,t,given,200,7,reject
F,29.5,0.460000008,owner,given,labourer,private_s,0,4,f,given,380,500,accept
M,32.83000183,2.5,owner,given,semi_pro,governmen,2,6,f,given,160,2072,accept
M,22.75,11,owner,given,office_st,private_s,2,7,t,given,100,809,accept
M,47.33000183,6.5,owner,given,creative_,private_s,1,0,t,given,0,228,reject
M,35.25,16.5,rent,not_given,creative_,private_s,4,0,f,given,80,0,reject
M,37.75,7,owner,given,office_st,governmen,11,7,t,given,300,5,reject
F,22.5,8.460000038,rent,not_given,professio,private_s,2,0,f,given,164,0,accept
F,22.82999992,2.289999962,owner,given,office_st,governmen,2,7,t,given,140,2384,accept
M,22.67000008,10.5,owner,given,office_st,governmen,1,0,f,given,100,0,accept
M,39.16999817,1.625,owner,given,creative_,private_s,1,10,f,given,186,4700,accept
M,48.33000183,12,owner,given,manager,private_s,16,0,f,oth_inst_,110,0,accept
M,26.67000008,2.710000038,rent,not_given,semi_pro,private_s,5,1,f,given,211,0,accept
M,37.41999817,2.039999962,owner,given,productio,private_s,0,0,t,given,400,5800,accept
M,29.17000008,3.5,owner,given,productio,private_s,3,3,t,given,329,0,reject
F,52.16999817,0,rent,not_given,unemploye,unemploye,0,0,f,given,0,0,reject
M,20.17000008,9.25,owner,given,creative_,private_s,1,3,t,given,40,28,accept
M,26.67000008,14.58500004,owner,given,guard_etc,self_empl,0,0,t,given,178,0,reject
M,36.08000183,2.539999962,owner,given,unemploye,unemploye,0,0,f,given,0,1000,reject
M,28.67000008,14.5,owner,given,driver,private_s,0,0,f,given,0,286,reject
F,24.57999992,0.670000017,owner,given,sales,governmen,1,0,f,given,400,0,reject
M,41.75,0.959999979,owner,given,professio,private_s,2,0,f,given,510,600,accept
M,22.17000008,2.25,owner,given,guard_etc,private_s,0,0,f,given,160,10,reject
M,32.33000183,7.5,owner,given,executive,self_empl,1,0,t,oth_inst_,420,0,reject
M,48.5,4.25,owner,given,manager,private_s,0,0,t,given,225,0,accept
M,47.66999817,0.289999992,owner,given,creative_,self_empl,15,20,f,given,0,15000,accept
M,26.32999992,13,owner,given,executive,student,0,0,t,given,140,1110,reject
M,54.83000183,15.5,owner,given,executive,retired,0,20,f,given,152,130,reject
M,21.5,11.5,owner,given,guard_etc,private_s,0,0,t,given,100,68,reject
M,19.32999992,9.5,owner,given,office_st,private_s,1,0,t,given,60,400,accept
M,23,0.75,owner,given,manager,private_s,0,0,t,oth_inst_,320,0,reject
F,41,2.039999962,rent,not_given,office_st,governmen,0,23,t,given,455,1236,accept
M,17.42000008,6.5,owner,given,guard_etc,private_s,0,0,f,given,60,100,reject
M,23.25,4,owner,given,creative_,self_empl,0,0,t,given,160,0,accept
M,33.66999817,1.25,owner,given,productio,private_s,1,0,f,given,120,0,reject
M,48.25,25.08499908,owner,given,productio,private_s,1,3,f,given,120,14,accept
M,33.75,2.75,owner,given,guard_etc,self_empl,0,0,f,given,180,0,reject
M,34.91999817,2.5,owner,given,productio,private_s,0,0,t,given,239,200,accept
M,39.91999817,6.210000038,owner,given,office_st,private_s,0,1,f,given,200,300,accept
M,63.33000183,0.540000021,owner,given,creative_,private_s,0,3,t,given,180,0,reject
M,17.25,3,owner,given,labourer,private_s,0,0,t,given,160,40,reject
M,42.75,4.085000038,owner,given,sales,private_s,0,0,f,given,108,100,reject
F,45.83000183,10.5,owner,given,office_st,private_s,5,7,t,given,0,0,accept
M,18.5,2,owner,given,guard_etc,private_s,1,2,f,given,120,300,accept
M,21.17000008,0,owner,given,creative_,private_s,0,0,t,oth_inst_,0,0,reject
F,23.42000008,0.790000021,rent,not_given,office_st,private_s,1,2,t,given,80,400,accept
M,65.41999817,11,owner,given,executive,retired,20,7,t,given,22,0,accept
M,29.67000008,1.414999962,owner,given,productio,governmen,0,1,f,given,240,100,accept
F,28.75,3.75,owner,given,creative_,private_s,1,1,t,given,371,0,accept
M,18.07999992,6.75,rent,not_given,manager,private_s,0,0,f,given,140,0,reject
M,74.83000183,19,rent,not_given,unemploye,unemploye,0,2,f,given,0,351,reject
F,23.75,0.709999979,owner,given,productio,private_s,0,1,t,given,240,4,reject
M,23.07999992,2.5,owner,given,creative_,private_s,1,11,t,given,60,2184,accept
M,60.08000183,14.5,owner,given,unemploye,unemploye,18,15,t,given,0,1000,accept
M,43.16999817,5,owner,given,guard_etc,self_empl,2,0,t,given,141,0,reject
M,43.16999817,2.25,owner,given,guard_etc,self_empl,0,0,f,given,560,0,reject
F,30.57999992,10.66499996,owner,given,office_st,governmen,0,12,t,given,129,3,reject
F,16.32999992,0.209999993,owner,given,sales,private_s,0,0,f,given,200,1,reject
F,31.92000008,3.125,owner,given,unemploye,unemploye,3,2,t,given,200,4,reject
M,34.75,2.5,owner,given,semi_pro,self_empl,0,0,f,given,348,0,reject
M,30.75,1.585000038,owner,given,driver,private_s,0,0,t,oth_inst_,0,0,reject
M,23.25,1,owner,given,creative_,private_s,0,0,f,oth_inst_,300,0,accept
M,31.67000008,16.16500092,owner,given,driver,private_s,3,9,f,given,250,730,accept
F,15.92000008,2.875,owner,given,office_st,private_s,0,0,f,given,120,0,reject
M,16.32999992,2.75,owner,given,sales,private_s,0,1,f,given,80,21,reject
F,19.5,0.165000007,owner,given,office_st,private_s,0,0,t,given,380,0,reject
F,60.58000183,16.5,owner,given,office_st,private_s,11,0,t,given,21,10561,accept
M,40.91999817,0.5,rent,not_given,manager,private_s,0,0,t,given,130,0,reject
F,44.16999817,6.664999962,owner,given,office_st,private_s,7,3,t,given,0,0,accept
M,32.08000183,4,rent,not_given,semi_pro,private_s,1,0,t,given,120,0,reject
F,18.57999992,10,owner,given,driver,private_s,0,0,f,given,80,42,reject
F,64.08000183,0.165000007,owner,given,unemploye,unemploye,0,1,f,given,232,100,accept
F,52.5,7,owner,given,sales,governmen,3,0,f,given,0,0,reject
M,27.75,0.584999979,rent,not_given,semi_pro,private_s,0,2,f,given,260,500,accept
M,31.67000008,0.829999983,owner,given,professio,private_s,1,8,t,given,303,3290,accept
M,26.25,1.539999962,owner,given,productio,private_s,0,0,f,given,100,0,reject
M,33.16999817,3.164999962,rent,not_given,professio,private_s,3,3,t,given,380,0,accept
M,18.67000008,5,owner,given,office_st,private_s,0,2,f,given,0,38,reject
M,31.07999992,3.085000038,owner,given,creative_,private_s,2,2,t,given,160,41,reject
M,23.42000008,0.584999979,owner,given,creative_,governmen,0,0,f,given,180,0,reject
F,57.08000183,19.5,owner,given,creative_,private_s,5,7,f,given,0,3000,accept
M,21.92000008,0.5,owner,given,creative_,private_s,0,0,f,given,360,0,reject
F,16,0.165000007,owner,given,sales,private_s,1,2,t,given,320,1,reject
M,25.17000008,6,owner,given,creative_,private_s,1,3,f,given,0,0,accept
M,49.58000183,19,owner,given,unemploye,unemploye,0,1,f,given,94,0,reject
M,32.66999817,9,rent,not_given,productio,governmen,5,0,t,given,154,0,accept
M,44.25,0.5,owner,given,manager,private_s,10,0,f,oth_inst_,400,0,reject
M,48.16999817,7.625,owner,given,productio,governmen,15,12,f,given,0,790,accept
M,30.32999992,0.5,owner,given,driver,governmen,0,0,t,oth_inst_,252,0,reject
M,17.57999992,10,owner,given,productio,governmen,0,1,f,given,120,1,reject
F,47.25,0.75,owner,given,office_st,governmen,2,1,f,given,333,892,accept
M,40.91999817,0.834999979,owner,given,unemploye,unemploye,0,0,f,given,130,1,reject
M,25.57999992,0.335000008,owner,given,labourer,governmen,3,0,t,given,340,0,reject
M,22.07999992,11.46000004,owner,given,labourer,private_s,1,0,t,given,100,1212,reject
F,49.83000183,13.58500004,owner,given,labourer,governmen,8,0,t,given,0,0,accept
F,38.91999817,1.664999962,owner,given,sales,private_s,0,0,f,given,0,390,reject
F,20.42000008,10.5,rent,not_given,professio,governmen,0,0,t,given,154,32,reject
